timestamp,dashboard_name,dashboard_avg_response_time,panel_id,panel_name,dashboard_status,dashboard_success_rate,panel_status,panel_success_rate,panel_avg_response_time,time_range,vus,vus_max,iterations
2025-11-02 21:34:00,Apache Overview,210.12,23,High Worker Utilization Trend For Top 5 Servers,200,100,200,100,210.12,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,207.42,25,Request per Sec Trend For Top 5 Servers,200,100,200,100,207.42,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,289.38,23,High Worker Utilization Trend For Top 5 Servers,200,100,200,100,289.38,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,186.12,40,Worker Utilization Details,200,100,200,100,186.12,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,196.77,14,Active Alerts,200,100,200,100,196.77,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,195.12,23,High Worker Utilization Trend For Top 5 Servers,200,100,200,100,195.12,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,191.92,40,Worker Utilization Details,200,100,200,100,191.92,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,103.69,58,Requests,200,100,200,100,103.69,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,133.88,58,Requests,200,100,200,100,133.88,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,191.59,58,Requests,200,100,200,100,191.59,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,197.15,58,Requests,200,100,200,100,197.15,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,192.30,27,Bytes per Sec Trend For Top 5 Servers,200,100,200,100,192.30,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,108.41,40,Worker Utilization Details,200,100,200,100,108.41,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,208.64,40,Worker Utilization Details,200,100,200,100,208.64,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,193.33,40,Worker Utilization Details,200,100,200,100,193.33,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,300.77,58,Requests,200,100,200,100,300.77,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,305.56,23,High Worker Utilization Trend For Top 5 Servers,200,100,200,100,305.56,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,293.95,58,Requests,200,100,200,100,293.95,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,300.11,26,Bytes Served/Request Trend For Top 5 Servers,200,100,200,100,300.11,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,401.39,25,Request per Sec Trend For Top 5 Servers,200,100,200,100,401.39,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,210.57,58,Requests,200,100,200,100,210.57,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,403.66,58,Requests,200,100,200,100,403.66,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,294.65,58,Requests,200,100,200,100,294.65,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,112.05,25,Request per Sec Trend For Top 5 Servers,200,100,200,100,112.05,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,314.45,25,Request per Sec Trend For Top 5 Servers,200,100,200,100,314.45,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,467.90,25,Request per Sec Trend For Top 5 Servers,200,100,200,100,467.90,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,191.68,40,Worker Utilization Details,200,100,200,100,191.68,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,401.67,25,Request per Sec Trend For Top 5 Servers,200,100,200,100,401.67,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,102.57,25,Request per Sec Trend For Top 5 Servers,200,100,200,100,102.57,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,97.78,58,Requests,200,100,200,100,97.78,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,191.20,25,Request per Sec Trend For Top 5 Servers,200,100,200,100,191.20,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,195.97,25,Request per Sec Trend For Top 5 Servers,200,100,200,100,195.97,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,203.11,41,Request Information,200,100,200,100,203.11,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,197.60,27,Bytes per Sec Trend For Top 5 Servers,200,100,200,100,197.60,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,194.70,25,Request per Sec Trend For Top 5 Servers,200,100,200,100,194.70,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,111.59,27,Bytes per Sec Trend For Top 5 Servers,200,100,200,100,111.59,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,283.95,27,Bytes per Sec Trend For Top 5 Servers,200,100,200,100,283.95,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,285.41,27,Bytes per Sec Trend For Top 5 Servers,200,100,200,100,285.41,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,205.38,27,Bytes per Sec Trend For Top 5 Servers,200,100,200,100,205.38,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,297.74,27,Bytes per Sec Trend For Top 5 Servers,200,100,200,100,297.74,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,211.04,27,Bytes per Sec Trend For Top 5 Servers,200,100,200,100,211.04,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,295.29,27,Bytes per Sec Trend For Top 5 Servers,200,100,200,100,295.29,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,204.68,26,Bytes Served/Request Trend For Top 5 Servers,200,100,200,100,204.68,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,199.72,26,Bytes Served/Request Trend For Top 5 Servers,200,100,200,100,199.72,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,309.95,25,Request per Sec Trend For Top 5 Servers,200,100,200,100,309.95,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,306.50,59,Connections,200,100,200,100,306.50,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,213.99,26,Bytes Served/Request Trend For Top 5 Servers,200,100,200,100,213.99,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,304.33,26,Bytes Served/Request Trend For Top 5 Servers,200,100,200,100,304.33,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,390.21,27,Bytes per Sec Trend For Top 5 Servers,200,100,200,100,390.21,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,399.18,26,Bytes Served/Request Trend For Top 5 Servers,200,100,200,100,399.18,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,202.77,26,Bytes Served/Request Trend For Top 5 Servers,200,100,200,100,202.77,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,206.25,26,Bytes Served/Request Trend For Top 5 Servers,200,100,200,100,206.25,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,198.50,41,Request Information,200,100,200,100,198.50,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,196.64,34,Bytes Transferred Trend For Top 5 Servers,200,100,200,100,196.64,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,115.34,26,Bytes Served/Request Trend For Top 5 Servers,200,100,200,100,115.34,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,205.37,41,Request Information,200,100,200,100,205.37,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,215.60,26,Bytes Served/Request Trend For Top 5 Servers,200,100,200,100,215.60,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,285.89,41,Request Information,200,100,200,100,285.89,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,289.35,41,Request Information,200,100,200,100,289.35,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,296.76,41,Request Information,200,100,200,100,296.76,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,394.33,27,Bytes per Sec Trend For Top 5 Servers,200,100,200,100,394.33,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,302.93,41,Request Information,200,100,200,100,302.93,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,288.90,46,Async Connections Trend,200,100,200,100,288.90,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,386.25,41,Request Information,200,100,200,100,386.25,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,291.07,59,Connections,200,100,200,100,291.07,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,295.94,41,Request Information,200,100,200,100,295.94,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,207.62,59,Connections,200,100,200,100,207.62,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,313.97,59,Connections,200,100,200,100,313.97,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,215.03,59,Connections,200,100,200,100,215.03,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,381.61,41,Request Information,200,100,200,100,381.61,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,189.98,59,Connections,200,100,200,100,189.98,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,100.84,59,Connections,200,100,200,100,100.84,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,208.31,26,Bytes Served/Request Trend For Top 5 Servers,200,100,200,100,208.31,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,302.33,59,Connections,200,100,200,100,302.33,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,202.51,34,Bytes Transferred Trend For Top 5 Servers,200,100,200,100,202.51,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,210.73,47,Scoreboard Connections Trend,200,100,200,100,210.73,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,188.13,41,Request Information,200,100,200,100,188.13,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,289.75,34,Bytes Transferred Trend For Top 5 Servers,200,100,200,100,289.75,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,202.47,34,Bytes Transferred Trend For Top 5 Servers,200,100,200,100,202.47,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,382.89,34,Bytes Transferred Trend For Top 5 Servers,200,100,200,100,382.89,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,384.45,34,Bytes Transferred Trend For Top 5 Servers,200,100,200,100,384.45,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,399.81,59,Connections,200,100,200,100,399.81,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,287.34,39,Connection Information,200,100,200,100,287.34,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,402.62,59,Connections,200,100,200,100,402.62,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,296.02,34,Bytes Transferred Trend For Top 5 Servers,200,100,200,100,296.02,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,207.50,59,Connections,200,100,200,100,207.50,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,410.54,34,Bytes Transferred Trend For Top 5 Servers,200,100,200,100,410.54,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,211.53,46,Async Connections Trend,200,100,200,100,211.53,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,201.55,46,Async Connections Trend,200,100,200,100,201.55,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,296.51,46,Async Connections Trend,200,100,200,100,296.51,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,208.13,46,Async Connections Trend,200,100,200,100,208.13,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,201.34,34,Bytes Transferred Trend For Top 5 Servers,200,100,200,100,201.34,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,406.53,46,Async Connections Trend,200,100,200,100,406.53,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,189.24,47,Scoreboard Connections Trend,200,100,200,100,189.24,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,207.87,16,Apache Scoreboards,200,100,200,100,207.87,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,205.39,34,Bytes Transferred Trend For Top 5 Servers,200,100,200,100,205.39,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,201.41,46,Async Connections Trend,200,100,200,100,201.41,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,106.98,47,Scoreboard Connections Trend,200,100,200,100,106.98,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,204.25,34,Bytes Transferred Trend For Top 5 Servers,200,100,200,100,204.25,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,115.29,47,Scoreboard Connections Trend,200,100,200,100,115.29,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,300.89,46,Async Connections Trend,200,100,200,100,300.89,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,196.39,46,Async Connections Trend,200,100,200,100,196.39,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,194.29,47,Scoreboard Connections Trend,200,100,200,100,194.29,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,294.52,47,Scoreboard Connections Trend,200,100,200,100,294.52,15m,11,11,11
2025-11-02 21:34:00,Apache Overview,193.99,46,Async Connections Trend,200,100,200,100,193.99,15m,11,11,11
