timestamp,test_name,avg_response_time,status_code,success_rate,vus,vus_max,iterations
2025-11-02 21:33:46,login,2079.769769,200,100,11,11,11
2025-11-02 21:33:46,login,4095.495831,200,100,11,11,11
2025-11-02 21:33:46,login,2079.694331,200,100,11,11,11
2025-11-02 21:33:46,login,2075.919047,200,100,11,11,11
2025-11-02 21:33:46,login,2067.270199,200,100,11,11,11
2025-11-02 21:33:46,login,1023.576066,200,100,11,11,11
2025-11-02 21:33:46,login,4064.022084,200,100,11,11,11
2025-11-02 21:33:46,login,4063.551145,200,100,11,11,11
2025-11-02 21:33:46,login,27706.920423,0,0,11,11,11
2025-11-02 21:33:46,login,28732.494457,0,0,11,11,11
2025-11-02 21:33:46,login,29754.118474,0,0,11,11,11
